Date,Visitor,G,Home,G,Type,Attendance,LOG
17-10-04,Calgary Flames,0,Edmonton Oilers,3,,18347,02:34
17-10-04,St. Louis Blues,5,Pittsburgh Penguins,4,OT,18652,02:38
17-10-04,Philadelphia Flyers,5,San Jose Sharks,3,,17562,02:27
17-10-04,Toronto Maple Leafs,7,Winnipeg Jets,2,,15321,02:33
17-10-05,Arizona Coyotes,4,Anaheim Ducks,5,,17174,02:38
17-10-05,Nashville Predators,3,Boston Bruins,4,,17565,02:39
17-10-05,Montreal Canadiens,3,Buffalo Sabres,2,SO,19070,02:49
17-10-05,Pittsburgh Penguins,1,Chicago Blackhawks,10,,21705,02:35
17-10-05,Minnesota Wild,2,Detroit Red Wings,4,,19515,02:39
17-10-05,Philadelphia Flyers,0,Los Angeles Kings,2,,18230,02:37
17-10-05,Colorado Avalanche,4,New York Rangers,2,,18006,02:27
17-10-05,Washington Capitals,5,Ottawa Senators,4,SO,17009,02:43
17-10-06,New York Islanders,0,Columbus Blue Jackets,5,,18595,02:25
17-10-06,Vegas Knights,2,Dallas Stars,1,,18532,02:41
17-10-06,Florida Panthers,3,Tampa Bay Lightning,5,,19092,02:32
17-10-07,Philadelphia Flyers,3,Anaheim Ducks,2,OT,16032,02:30
17-10-07,Vegas Knights,2,Arizona Coyotes,1,OT,17125,02:36
17-10-07,Minnesota Wild,4,Carolina Hurricanes,5,SO,18680,02:54
17-10-07,Winnipeg Jets,3,Calgary Flames,6,,19289,02:32
17-10-07,Columbus Blue Jackets,1,Chicago Blackhawks,5,,21264,02:23
17-10-07,Tampa Bay Lightning,4,Florida Panthers,5,,16871,02:46
17-10-07,Colorado Avalanche,1,New Jersey Devils,4,,16514,02:24
17-10-07,Buffalo Sabres,3,New York Islanders,6,,15234,02:35
17-10-07,Detroit Red Wings,2,Ottawa Senators,1,SO,14883,02:44
17-10-07,Nashville Predators,0,Pittsburgh Penguins,4,,18645,02:38
17-10-07,Los Angeles Kings,4,San Jose Sharks,1,,17562,02:31
17-10-07,Dallas Stars,2,St. Louis Blues,4,,18858,02:32
17-10-07,New York Rangers,5,Toronto Maple Leafs,8,,19621,02:48
17-10-07,Edmonton Oilers,2,Vancouver Canucks,3,,18865,02:36
17-10-07,Montreal Canadiens,1,Washington Capitals,6,,18506,02:39
17-10-08,Montreal Canadiens,0,New York Rangers,2,,18006,02:29
17-10-09,Calgary Flames,2,Anaheim Ducks,0,,15485,02:21
17-10-09,Colorado Avalanche,4,Boston Bruins,0,,17565,02:28
17-10-09,New Jersey Devils,6,Buffalo Sabres,2,,17697,02:26
17-10-09,Winnipeg Jets,5,Edmonton Oilers,2,,18347,02:34
17-10-09,St. Louis Blues,3,New York Islanders,2,SO,10673,02:39
17-10-09,Washington Capitals,3,Tampa Bay Lightning,4,OT,19092,02:46
17-10-09,Chicago Blackhawks,3,Toronto Maple Leafs,4,OT,19456,02:39
17-10-10,Columbus Blue Jackets,2,Carolina Hurricanes,1,OT,7892,02:37
17-10-10,Detroit Red Wings,2,Dallas Stars,4,,18119,02:42
17-10-10,Chicago Blackhawks,3,Montreal Canadiens,1,,21302,02:28
17-10-10,Philadelphia Flyers,5,Nashville Predators,6,,17194,02:40
17-10-10,St. Louis Blues,3,New York Rangers,1,,18006,02:30
17-10-10,Ottawa Senators,3,Vancouver Canucks,2,SO,17273,02:45
17-10-10,Arizona Coyotes,2,Vegas Knights,5,,18191,02:33
17-10-11,New York Islanders,2,Anaheim Ducks,3,,14553,02:34
17-10-11,Boston Bruins,3,Colorado Avalanche,6,,18011,02:38
17-10-11,Calgary Flames,4,Los Angeles Kings,3,OT,18230,02:40
17-10-11,New Jersey Devils,6,Toronto Maple Leafs,3,,19103,02:39
17-10-11,Pittsburgh Penguins,3,Washington Capitals,2,,18506,02:34
17-10-12,Detroit Red Wings,4,Arizona Coyotes,2,,13584,02:36
