group,pre,post
1,4.34,1.30 
1,3.50,0.94
1,4.33,2.25
1,2.76,1.05
1,4.62,0.92
1,5.40,1.90
1,3.95,0.32
1,1.55,0.64
1,1.42,0.69
1,1.90,0.93
2,1.55,0.93
2,10.56,4.44
2,8.39,4.03
2,3.70,1.92
2,2.40,0.67
2,1.83,1.70
2,2.40,0.77
2,7.67,3.53
2,5.79,3.65
2,9.58,4.22
3,7.18,5.10
3,8.33,4.16
3,4.05,1.54
3,10.78,6.36
3,6.09,3.96
3,7.78,4.51
3,5.08,3.76
3,2.86,1.92
3,6.30,3.84
4,6.94,2.29
4,6.10,4.75
4,4.90,3.48
4,3.69,2.76
4,4.76,1.67
4,4.30,1.51
4,2.32,1.07
4,7.35,2.35
5,4.00,1.44
5,4.10,1.11
5,3.62,2.17
5,3.92,2.00
5,2.90,0.84
5,2.90,0.99
5,1.82,0.44
5,4.94,0.84
5,5.69,2.84
5,5.54,2.93
